time	V(ausgang)*I(I1)	V(n004)*I(V2)
1.699413093073432e-002	1.224415e+001	-6.378298e+000
1.699414102045960e-002	1.224414e+001	-6.378289e+000
1.699415395770410e-002	1.224413e+001	-6.378276e+000
1.699416749558103e-002	1.224412e+001	-6.378264e+000
1.699418442368128e-002	1.224410e+001	-6.378248e+000
1.699420539931607e-002	1.224408e+001	-6.378228e+000
1.699421620691732e-002	1.224407e+001	-6.378217e+000
1.699423612636153e-002	1.224405e+001	-6.378197e+000
1.699424549600526e-002	1.224404e+001	-6.378187e+000
1.699425374325014e-002	1.224403e+001	-6.378178e+000
1.699426075068322e-002	1.224402e+001	-6.378171e+000
1.699426632749002e-002	1.224402e+001	-6.378165e+000
1.699426953674466e-002	1.224402e+001	-6.378162e+000
1.699427429116518e-002	1.224401e+001	-6.378156e+000
1.699428175237039e-002	1.224400e+001	-6.378148e+000
1.699428930845970e-002	1.224400e+001	-6.378140e+000
1.699429982174083e-002	1.224399e+001	-6.378129e+000
1.699432322523009e-002	1.224396e+001	-6.378106e+000
1.699433630994363e-002	1.224395e+001	-6.378093e+000
1.699435183590858e-002	1.224393e+001	-6.378078e+000
1.699436884735106e-002	1.224392e+001	-6.378062e+000
1.699439281021076e-002	1.224389e+001	-6.378038e+000
1.699440570340660e-002	1.224388e+001	-6.378025e+000
1.699441636715915e-002	1.224387e+001	-6.378015e+000
1.699442749742364e-002	1.224386e+001	-6.378003e+000
1.699443916751264e-002	1.224385e+001	-6.377991e+000
1.699445169526892e-002	1.224383e+001	-6.377977e+000
1.699446432645912e-002	1.224382e+001	-6.377963e+000
1.699447859927439e-002	1.224381e+001	-6.377949e+000
1.699449209907289e-002	1.224379e+001	-6.377935e+000
1.699450813463854e-002	1.224378e+001	-6.377920e+000
1.699452270552337e-002	1.224376e+001	-6.377905e+000
1.699454015703816e-002	1.224374e+001	-6.377888e+000
1.699455868691924e-002	1.224373e+001	-6.377869e+000
1.699458042143720e-002	1.224370e+001	-6.377848e+000
1.699460678009490e-002	1.224368e+001	-6.377821e+000
1.699462045747768e-002	1.224366e+001	-6.377807e+000
1.699463570793236e-002	1.224365e+001	-6.377791e+000
1.699465168299563e-002	1.224363e+001	-6.377775e+000
1.699466927646354e-002	1.224362e+001	-6.377756e+000
1.699470140280979e-002	1.224358e+001	-6.377724e+000
1.699471935929819e-002	1.224357e+001	-6.377707e+000
1.699473910661908e-002	1.224355e+001	-6.377687e+000
1.699476484130991e-002	1.224352e+001	-6.377661e+000
1.699479284953565e-002	1.224349e+001	-6.377633e+000
1.699480913948637e-002	1.224348e+001	-6.377616e+000
1.699482709035272e-002	1.224346e+001	-6.377598e+000
1.699484777850024e-002	1.224344e+001	-6.377576e+000
1.699486384092896e-002	1.224342e+001	-6.377561e+000
1.699488036834018e-002	1.224341e+001	-6.377543e+000
1.699490217071020e-002	1.224338e+001	-6.377521e+000
1.699492199851760e-002	1.224336e+001	-6.377502e+000
1.699494951129432e-002	1.224334e+001	-6.377475e+000
1.699498168461389e-002	1.224330e+001	-6.377442e+000
1.699500117531316e-002	1.224328e+001	-6.377422e+000
1.699502212639548e-002	1.224326e+001	-6.377400e+000
1.699504947889918e-002	1.224324e+001	-6.377372e+000
1.699506872094692e-002	1.224322e+001	-6.377353e+000
1.699508928627169e-002	1.224320e+001	-6.377332e+000
1.699511345367943e-002	1.224317e+001	-6.377308e+000
1.699514190990659e-002	1.224314e+001	-6.377279e+000
1.699517918781601e-002	1.224311e+001	-6.377242e+000
1.699520497318974e-002	1.224308e+001	-6.377215e+000
